第一组白,葡萄酒品尝评分,,,,,,,,,,,,
,,,,,,,,,,,,,
,总分：100,干白品种,品酒员1,品酒员2,品酒员3,品酒员4,品酒员5,品酒员6,品酒员7,品酒员8,品酒员9,品酒员10,
香气分析,6,纯正度,4,5,5,5,5,5,5,3,5,5,
,8,浓度,6,7,7,7,6,7,8,6,6,6,
,16,质量,12,14,14,14,14,14,14,10,12,14,
口感分析,6,纯正度,5,3,5,2,5,5,5,4,6,5,
,8,浓度,7,4,7,4,7,6,7,6,7,6,
,8,持久性,7,5,6,6,6,7,7,5,6,6,
,22,质量,19,13,16,13,19,16,16,13,22,19,
平衡/整体评价,11,,10,7,10,8,9,10,9,8,10,9,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
19,,酒样品19,,,,,,,,,,,
外观分析,5,澄清度,2,2,3,4,4,3,2,2,5,2,
,10,色调,8,6,8,4,8,6,6,4,8,6,
香气分析,6,纯正度,4,4,5,4,4,3,5,4,4,4,
,8,浓度,6,7,7,7,6,6,7,4,6,7,
,16,质量,12,10,16,12,10,12,14,12,12,12,
口感分析,6,纯正度,5,4,5,3,5,3,4,4,5,4,
,8,浓度,6,6,7,6,6,4,7,6,6,7,
,8,持久性,7,6,6,6,6,6,7,6,6,7,
,22,质量,16,13,16,13,16,13,19,13,13,19,
平衡/整体评价,11,,9,8,10,9,8,8,9,8,8,9,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28,,酒样品28,,,,,,,,,,,
外观分析,5,澄清度,4,4,4,4,4,5,5,4,5,4,
,10,色调,6,6,10,8,8,10,10,8,10,8,
香气分析,6,纯正度,3,5,5,5,5,5,5,4,6,5,
,8,浓度,4,7,7,7,7,7,8,7,7,7,
,16,质量,10,12,14,14,14,14,14,14,14,14,
口感分析,6,纯正度,3,5,5,2,5,4,4,4,5,5,
,8,浓度,6,7,8,2,8,7,7,6,6,7,
,8,持久性,6,7,7,6,8,7,6,7,6,7,
,22,质量,16,13,19,13,19,19,16,13,19,22,
平衡/整体评价,11,,8,9,10,8,10,9,10,9,10,11,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
11,,酒样品11,,,,,,,,,,,
外观分析,5,澄清度,3,2,3,3,4,4,4,4,5,4,
,10,色调,8,4,8,2,6,6,8,4,8,6,
香气分析,6,纯正度,5,3,5,4,5,4,5,5,5,4,
,8,浓度,7,3,7,6,6,6,7,4,8,6,
,16,质量,14,8,14,12,12,12,12,12,14,12,
口感分析,6,纯正度,5,3,5,2,5,5,5,3,6,4,
,8,浓度,6,2,7,4,6,4,7,4,7,6,
,8,持久性,6,4,7,6,5,6,7,5,6,5,
,22,质量,16,10,19,13,16,16,22,13,19,16,
平衡/整体评价,11,,9,7,10,8,9,8,9,8,10,9,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
15,,酒样品15,,,,,,,,,,,
外观分析,5,澄清度,2,1,4,3,4,3,3,2,5,3,
,10,色调,8,2,8,2,8,6,8,4,8,6,
香气分析,6,纯正度,4,3,5,5,4,3,5,5,6,5,
,8,浓度,7,6,8,7,7,4,6,7,7,7,
,16,质量,12,8,14,14,12,10,14,14,14,14,
口感分析,6,纯正度,4,2,5,4,5,3,5,3,4,5,
,8,浓度,6,4,7,6,6,6,7,6,4,6,
,8,持久性,6,5,7,5,7,5,6,5,5,7,
,22,质量,16,10,19,16,19,13,16,13,13,19,
平衡/整体评价,11,,9,7,10,9,9,8,9,8,8,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
14,,酒样品14,,,,,,,,,,,
外观分析,5,澄清度,3,1,4,3,4,3,4,2,4,2,
,10,色调,8,2,6,2,8,6,6,6,6,6,
香气分析,6,纯正度,4,3,5,5,5,4,4,4,5,5,
,8,浓度,7,6,7,8,6,4,7,6,6,6,
,16,质量,14,8,14,16,12,12,14,14,12,12,
口感分析,6,纯正度,5,3,5,2,5,4,5,3,5,4,
,8,浓度,6,4,7,4,7,4,6,6,7,7,
,8,持久性,6,4,7,6,7,6,6,6,7,6,
,22,质量,16,10,19,13,16,13,16,13,19,16,
平衡/整体评价,11,,9,7,10,8,9,8,10,8,10,9,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12,,酒样品12,,,,,,,,,,,
外观分析,5,澄清度,2,1,2,2,3,2,3,2,3,1,
,10,色调,8,2,6,2,6,4,8,4,6,4,
香气分析,6,纯正度,5,2,5,4,5,4,5,2,5,5,
,8,浓度,4,4,6,4,6,4,7,4,7,6,
,16,质量,12,8,14,10,12,12,12,10,14,12,
口感分析,6,纯正度,3,2,4,3,5,3,3,3,3,4,
,8,浓度,4,2,6,4,4,6,7,4,4,7,
,8,持久性,5,4,6,6,5,6,7,6,5,6,
,22,质量,13,10,16,10,13,13,16,13,13,16,
平衡/整体评价,11,,8,7,10,7,8,8,9,8,8,9,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
18,,酒样品18,,,,,,,,,,,
外观分析,5,澄清度,4,2,4,3,4,4,5,4,5,4,
,10,色调,8,2,8,2,8,6,6,2,8,8,
香气分析,6,纯正度,5,3,5,5,5,5,5,4,6,4,
,8,浓度,7,4,7,4,6,7,7,6,7,6,
,16,质量,14,8,16,10,12,14,14,12,12,12,
口感分析,6,纯正度,5,2,5,5,4,4,5,3,4,5,
,8,浓度,7,2,6,6,6,4,7,6,6,7,
,8,持久性,7,4,6,7,6,6,7,6,5,6,
,22,质量,19,10,16,19,13,13,19,13,13,19,
平衡/整体评价,11,,10,7,10,10,8,8,10,8,8,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
13,,酒样品13,,,,,,,,,,,
外观分析,5,澄清度,2,1,3,2,2,2,3,2,3,2,
,10,色调,8,4,6,2,6,4,8,4,6,4,
香气分析,6,纯正度,5,2,5,4,4,3,4,3,3,4,
,8,浓度,7,2,7,4,4,6,7,7,4,6,
,16,质量,14,8,14,10,10,10,14,10,10,12,
口感分析,6,纯正度,5,2,5,2,5,3,5,4,4,4,
,8,浓度,6,2,7,4,6,6,7,6,6,6,
,8,持久性,6,4,7,4,5,6,6,5,5,6,
,22,质量,19,10,19,10,16,16,13,13,16,16,
平衡/整体评价,11,,10,7,10,7,8,9,9,8,8,9,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
21,,酒样品21,,,,,,,,,,,
外观分析,5,澄清度,2,1,3,2,2,4,4,2,4,2,
,10,色调,8,4,6,2,6,6,8,4,8,4,
香气分析,6,纯正度,5,3,6,5,5,5,5,5,6,5,
,8,浓度,7,6,7,7,7,8,6,7,8,7,
,16,质量,14,10,14,14,14,14,14,14,14,14,
口感分析,6,纯正度,5,2,5,2,4,5,4,4,6,5,
,8,浓度,7,2,8,4,7,7,7,6,7,7,
,8,持久性,7,4,7,5,6,8,7,7,6,7,
,22,质量,19,10,19,10,16,19,19,13,19,22,
平衡/整体评价,11,,10,7,10,8,9,10,9,8,10,11,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10,,酒样品10,,,,,,,,,,,
外观分析,5,澄清度,2,1,3,2,2,3,3,2,3,1,
,10,色调,8,2,8,2,6,4,8,4,8,4,
香气分析,6,纯正度,6,2,5,5,6,5,6,5,6,5,
,8,浓度,7,4,8,7,8,7,8,7,8,7,
,16,质量,16,8,14,14,14,14,14,14,16,12,
口感分析,6,纯正度,3,2,5,2,6,4,4,5,6,4,
,8,浓度,6,2,7,4,8,7,7,6,8,6,
,8,持久性,5,4,7,6,8,6,7,5,7,6,
,22,质量,13,10,19,10,19,16,16,16,19,16,
平衡/整体评价,11,,9,7,10,8,10,9,10,9,10,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,,酒样品7,,,,,,,,,,,
外观分析,5,澄清度,2,3,4,3,4,4,4,4,5,3,
,10,色调,8,8,6,2,6,6,8,4,8,6,
香气分析,6,纯正度,5,5,5,4,4,6,5,5,5,5,
,8,浓度,7,7,7,6,6,7,7,6,6,6,
,16,质量,14,14,14,12,12,14,14,12,12,14,
口感分析,6,纯正度,5,5,5,3,5,5,4,3,5,5,
,8,浓度,7,7,6,6,6,6,7,6,6,7,
,8,持久性,7,6,7,6,6,6,6,6,5,7,
,22,质量,19,16,19,16,16,16,16,13,16,19,
平衡/整体评价,11,,10,10,10,8,9,10,9,9,9,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,,酒样品1,,,,,,,,,,,
外观分析,5,澄清度,3,4,4,3,3,5,3,4,5,4,
,10,色调,8,8,8,2,8,8,8,6,10,8,
香气分析,6,纯正度,5,5,5,5,5,5,4,5,6,5,
,8,浓度,7,7,8,6,6,7,7,7,8,7,
,16,质量,14,14,14,12,12,14,12,14,14,14,
口感分析,6,纯正度,5,4,5,3,5,6,5,4,6,4,
,8,浓度,7,7,8,4,6,7,8,7,7,6,
,8,持久性,7,6,7,5,6,8,7,7,6,6,
,22,质量,19,16,19,13,16,22,19,16,22,16,
平衡/整体评价,11,,10,9,10,8,9,11,10,10,11,9,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3,,酒样品3,,,,,,,,,,,
外观分析,5,澄清度,3,2,4,3,3,5,4,4,5,4,
,10,色调,8,8,8,6,8,10,1,8,10,8,
香气分析,6,纯正度,5,5,5,5,5,2,0,5,6,4,
,8,浓度,7,7,8,7,7,6,5,6,7,4,
,16,质量,14,14,14,14,12,10,7,14,14,12,
口感分析,6,纯正度,5,3,5,4,5,4,4,4,6,5,
,8,浓度,7,2,8,6,7,6,6,7,7,6,
,8,持久性,7,5,7,5,6,7,7,5,6,7,
,22,质量,19,13,19,16,16,16,22,16,19,19,
平衡/整体评价,11,,10,8,11,9,9,9,10,10,10,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
16,,酒样品16,,,,,,,,,,,
外观分析,5,澄清度,2,1,3,2,2,3,3,2,5,2,
,10,色调,8,4,8,6,6,8,10,4,8,6,
香气分析,6,纯正度,4,2,5,4,5,6,5,4,6,4,
,8,浓度,4,4,8,7,6,7,7,6,7,6,
,16,质量,10,10,14,12,12,14,14,10,14,12,
口感分析,6,纯正度,4,2,5,3,5,5,5,3,6,5,
,8,浓度,6,4,7,4,6,7,7,6,7,7,
,8,持久性,6,4,7,6,6,8,7,5,6,6,
,22,质量,16,10,19,13,13,22,19,13,16,19,
平衡/整体评价,11,,9,8,10,8,9,11,10,9,9,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2,,酒样品2,,,,,,,,,,,
外观分析,5,澄清度,3,1,4,3,3,5,3,3,5,3,
,10,色调,8,4,8,4,8,10,10,6,10,8,
香气分析,6,纯正度,5,2,5,5,5,6,6,3,6,5,
,8,浓度,7,4,8,4,7,7,8,7,6,7,
,16,质量,14,8,14,10,14,14,14,12,12,14,
口感分析,6,纯正度,4,2,5,2,4,6,4,3,4,4,
,8,浓度,6,4,7,4,6,7,7,6,4,7,
,8,持久性,6,4,6,5,6,7,7,6,5,7,
,22,质量,16,10,19,10,16,19,16,13,13,16,
平衡/整体评价,11,,9,8,10,7,10,10,10,9,8,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6,,酒样品6,,,,,,,,,,,
外观分析,5,澄清度,3,1,4,3,3,4,3,3,5,3,
,10,色调,8,2,6,4,8,6,8,6,8,8,
香气分析,6,纯正度,3,2,5,3,5,2,5,5,3,5,
,8,浓度,4,4,7,6,7,4,7,6,4,6,
,16,质量,10,8,14,10,14,8,14,12,10,14,
口感分析,6,纯正度,3,3,5,3,4,2,4,3,3,5,
,8,浓度,4,4,7,6,6,4,7,6,6,7,
,8,持久性,5,4,6,6,6,5,6,5,5,7,
,22,质量,13,10,19,16,16,13,16,13,13,19,
平衡/整体评价,11,,8,7,10,8,9,8,10,8,8,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
22,,酒样品22,,,,,,,,,,,
外观分析,5,澄清度,4,2,4,3,3,4,3,2,5,4,
,10,色调,6,6,8,4,8,10,10,6,10,8,
香气分析,6,纯正度,4,2,5,5,5,6,6,5,6,5,
,8,浓度,6,4,8,6,7,8,7,7,8,6,
,16,质量,12,8,16,14,14,16,12,14,16,14,
口感分析,6,纯正度,3,2,5,2,4,3,3,3,3,4,
,8,浓度,4,2,8,2,4,4,7,6,6,6,
,8,持久性,5,4,7,5,5,6,6,5,5,6,
,22,质量,13,10,19,10,13,13,13,13,13,13,
平衡/整体评价,11,,8,8,10,7,9,7,9,9,8,8,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8,,酒样品8,,,,,,,,,,,
外观分析,5,澄清度,3,1,4,3,3,3,2,3,5,3,
,10,色调,8,4,8,4,6,4,8,6,10,8,
香气分析,6,纯正度,3,2,5,4,5,3,4,5,4,5,
,8,浓度,4,6,7,6,6,4,6,7,6,6,
,16,质量,10,8,14,10,14,10,12,14,12,14,
口感分析,6,纯正度,5,2,5,2,5,3,4,4,4,5,
,8,浓度,7,2,6,4,7,6,6,6,6,7,
,8,持久性,7,4,6,4,6,5,6,7,6,6,
,22,质量,19,10,16,10,19,13,16,16,13,19,
平衡/整体评价,11,,9,7,10,7,10,8,9,9,9,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17,,酒样品17,,,,,,,,,,,
外观分析,5,澄清度,3,3,4,3,4,4,5,4,5,4,
,10,色调,8,4,10,6,6,8,8,8,10,8,
香气分析,6,纯正度,5,4,5,2,5,6,6,5,6,5,
,8,浓度,7,6,8,7,7,7,7,7,8,7,
,16,质量,14,10,14,12,14,14,14,14,16,14,
口感分析,6,纯正度,4,3,6,3,4,3,4,3,6,6,
,8,浓度,7,2,7,6,6,4,7,6,7,7,
,8,持久性,7,4,7,6,6,5,7,5,5,7,
,22,质量,16,10,19,16,16,13,19,13,19,22,
平衡/整体评价,11,,10,8,10,9,10,7,10,9,10,11,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
9,,酒样品9,,,,,,,,,,,
外观分析,5,澄清度,4,2,4,4,5,4,5,4,5,4,
,10,色调,8,8,8,8,8,6,8,8,10,8,
香气分析,6,纯正度,5,4,5,3,3,3,4,5,6,5,
,8,浓度,7,7,6,7,6,4,7,6,8,7,
,16,质量,14,12,14,10,12,10,12,14,14,14,
口感分析,6,纯正度,4,4,5,2,3,2,3,4,3,5,
,8,浓度,6,4,6,4,6,4,6,7,4,7,
,8,持久性,6,6,7,5,5,5,7,7,5,6,
,22,质量,16,13,16,10,13,10,13,16,13,19,
平衡/整体评价,11,,9,9,10,7,9,7,8,10,8,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
25,,酒样品25,,,,,,,,,,,
外观分析,5,澄清度,4,4,5,4,4,5,5,4,5,4,
,10,色调,8,6,8,8,6,8,8,8,10,8,
香气分析,6,纯正度,5,5,5,4,5,4,6,5,5,5,
,8,浓度,8,7,7,7,7,7,7,7,7,7,
,16,质量,14,14,14,12,14,12,14,14,14,14,
口感分析,6,纯正度,4,4,4,2,4,2,3,4,4,4,
,8,浓度,7,7,7,4,4,4,7,6,6,7,
,8,持久性,7,7,7,7,5,5,6,5,5,6,
,22,质量,19,16,16,13,16,13,13,16,13,16,
平衡/整体评价,11,,10,10,9,8,9,7,8,9,8,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
24,,酒样品24,,,,,,,,,,,
外观分析,5,澄清度,4,3,4,4,3,4,2,4,5,3,
,10,色调,8,6,8,8,6,8,8,6,10,8,
香气分析,6,纯正度,5,3,5,5,3,2,3,5,3,5,
,8,浓度,7,2,7,7,6,4,6,6,6,7,
,16,质量,12,10,14,14,12,10,12,14,10,14,
口感分析,6,纯正度,4,2,4,2,3,2,3,4,6,5,
,8,浓度,7,4,6,6,6,4,7,7,8,7,
,8,持久性,6,5,6,6,6,5,6,6,6,7,
,22,质量,19,13,16,13,13,13,13,16,22,19,
平衡/整体评价,11,,10,8,9,8,9,7,8,10,10,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
27,,酒样品27,,,,,,,,,,,
外观分析,5,澄清度,3,1,3,3,2,2,2,2,3,2,
,10,色调,8,2,8,8,6,4,6,6,8,6,
香气分析,6,纯正度,2,2,5,3,4,3,3,5,5,5,
,8,浓度,4,2,7,4,4,4,6,7,7,6,
,16,质量,8,8,14,10,10,10,12,14,14,12,
口感分析,6,纯正度,3,2,4,3,3,2,3,4,3,5,
,8,浓度,4,2,6,6,4,4,6,6,7,6,
,8,持久性,5,4,6,6,5,6,7,5,5,6,
,22,质量,13,10,16,16,13,13,13,16,13,19,
平衡/整体评价,11,,8,7,10,8,8,7,8,9,8,10,
,,,,,,,,,,,,,
