第二组白,葡萄酒品尝评分,,,,,,,,,,,,
,,,,,,,,,,,,,
酒样号,,项目,,j,品酒员2号,品酒员3号,品酒员4号,品酒员5号,品酒员6号,品酒员7号,品酒员8号,品酒员9号,品酒员10号
,,,持久性,5,6,7,7,7,7,6,5,5,6
,,,质量,13,16,19,19,19,16,19,10,16,19
,,平衡/整体评价,,9,9,10,10,10,10,10,7,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
20,葡萄酒样品20,外观分析,澄清度,3,4,3,3,3,5,4,3,4,3
,,,色调,8,8,6,8,6,6,8,8,6,6
,,香气分析,纯正度,6,4,4,5,5,5,4,3,4,4
,,,浓度,7,4,7,6,7,8,6,4,6,6
,,,质量,14,12,12,14,16,14,14,10,12,12
,,口感分析,纯正度,5,5,4,4,5,5,4,3,4,5
,,,浓度,7,6,7,7,7,7,6,4,6,7
,,,持久性,7,6,7,7,7,6,7,5,6,6
,,,质量,19,16,16,16,19,16,16,13,16,16
,,平衡/整体评价,,10,9,9,8,10,9,9,8,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
25,葡萄酒样品25,外观分析,澄清度,3,4,4,4,3,4,3,2,4,3
,,,色调,8,8,8,8,6,8,8,4,8,6
,,香气分析,纯正度,5,4,5,4,5,6,5,3,5,5
,,,浓度,7,6,7,7,7,8,7,4,7,7
,,,质量,14,12,12,12,14,14,14,8,14,14
,,口感分析,纯正度,4,5,5,5,5,5,4,3,5,5
,,,浓度,6,6,7,7,7,7,6,2,7,7
,,,持久性,7,6,6,7,7,7,7,5,6,7
,,,质量,16,16,16,22,19,19,19,13,19,19
,,平衡/整体评价,,9,9,9,10,10,10,10,8,10,11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4,葡萄酒样品4,外观分析,澄清度,4,4,3,4,3,4,3,2,4,3
,,,色调,8,8,6,8,6,6,8,6,8,6
,,香气分析,纯正度,5,5,4,5,5,5,5,3,5,3
,,,浓度,7,7,6,6,4,6,6,4,6,4
,,,质量,14,12,12,12,12,12,14,10,12,10
,,口感分析,纯正度,5,5,4,5,4,5,5,4,5,5
,,,浓度,7,6,7,7,4,7,7,6,6,6
,,,持久性,6,6,7,7,6,8,7,6,6,7
,,,质量,19,16,16,19,16,19,19,16,16,19
,,平衡/整体评价,,9,9,9,10,9,10,10,9,9,9
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10,葡萄酒样品10,外观分析,澄清度,3,4,4,3,3,4,3,2,4,3
,,,色调,6,8,6,4,4,6,8,4,4,8
,,香气分析,纯正度,6,4,5,5,5,6,5,4,4,5
,,,浓度,8,7,7,8,7,8,7,6,7,7
,,,质量,14,12,12,16,14,16,14,10,12,14
,,口感分析,纯正度,5,4,5,5,5,4,4,4,5,6
,,,浓度,8,7,7,8,7,7,6,4,6,7
,,,持久性,7,6,6,5,7,7,8,6,6,7
,,,质量,19,16,16,19,19,19,19,13,16,22
,,平衡/整体评价,,10,9,9,9,10,10,10,8,9,11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2,葡萄酒样品2,外观分析,澄清度,3,4,4,4,3,4,3,3,4,3
,,,色调,8,8,8,8,6,8,8,6,8,6
,,香气分析,纯正度,5,4,4,6,5,3,5,3,4,4
,,,浓度,7,7,7,7,7,4,7,6,6,4
,,,质量,14,12,12,14,14,12,12,10,12,10
,,口感分析,纯正度,5,4,5,5,5,5,5,3,5,5
,,,浓度,6,6,6,6,6,7,6,2,6,6
,,,持久性,6,6,6,6,6,7,6,5,6,6
,,,质量,16,16,16,19,16,19,19,13,16,16
,,平衡/整体评价,,9,9,9,10,9,10,9,8,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
14,葡萄酒样品14,外观分析,澄清度,4,4,4,4,3,4,3,3,4,3
,,,色调,8,8,6,8,6,6,8,4,6,6
,,香气分析,纯正度,4,4,5,4,5,5,4,4,5,5
,,,浓度,6,7,6,6,7,7,6,6,7,7
,,,质量,12,12,12,12,14,12,12,12,12,14
,,口感分析,纯正度,4,5,5,4,5,5,4,4,5,5
,,,浓度,6,6,7,6,6,7,6,4,7,7
,,,持久性,6,6,6,7,7,7,7,6,6,6
,,,质量,16,16,16,16,16,19,19,16,16,19
,,平衡/整体评价,,9,9,9,9,9,10,10,9,10,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6,葡萄酒样品6,外观分析,澄清度,4,3,3,4,3,5,3,2,4,3
,,,色调,8,8,4,6,2,6,6,4,6,6
,,香气分析,纯正度,5,4,5,4,5,4,5,4,5,5
,,,浓度,7,7,7,4,7,6,7,6,6,6
,,,质量,14,12,12,12,14,12,14,12,14,12
,,口感分析,纯正度,5,4,4,4,5,5,4,4,5,5
,,,浓度,7,6,7,6,7,7,6,4,6,6
,,,持久性,7,6,7,5,6,7,7,6,6,6
,,,质量,16,16,16,16,16,16,19,16,16,19
,,平衡/整体评价,,10,9,9,8,10,9,9,9,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
27,葡萄酒样品27,外观分析,澄清度,3,4,4,4,3,5,3,2,4,3
,,,色调,8,8,8,8,6,10,6,6,8,6
,,香气分析,纯正度,4,4,5,5,5,5,4,4,5,4
,,,浓度,6,7,8,7,7,7,6,6,7,6
,,,质量,12,12,14,12,12,12,14,12,14,12
,,口感分析,纯正度,4,5,5,4,4,5,4,3,4,5
,,,浓度,4,6,7,7,7,7,7,4,6,6
,,,持久性,6,7,7,7,7,7,7,5,6,7
,,,质量,16,16,16,16,16,16,16,13,16,19
,,平衡/整体评价,,9,10,10,9,9,9,10,8,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
18,葡萄酒样品18,外观分析,澄清度,4,4,4,4,3,4,3,3,4,3
,,,色调,8,8,6,6,6,6,8,6,6,6
,,香气分析,纯正度,4,4,4,5,4,6,4,4,4,4
,,,浓度,7,7,7,7,4,6,6,6,6,4
,,,质量,12,14,12,14,10,12,14,12,12,10
,,口感分析,纯正度,4,5,5,5,5,6,4,4,5,4
,,,浓度,6,6,8,6,7,8,6,6,6,6
,,,持久性,5,6,8,6,7,8,5,5,6,5
,,,质量,16,19,19,16,19,19,19,16,16,16
,,平衡/整体评价,,9,10,9,10,9,9,9,9,9,9
,,,,,,,,,,,,,
,,,,,,,,,,,,,
15,葡萄酒样品15,外观分析,澄清度,2,3,4,4,3,4,3,3,4,3
,,,色调,8,8,6,8,6,6,8,6,6,6
,,香气分析,纯正度,6,4,6,5,5,6,4,4,5,4
,,,浓度,7,7,8,7,8,8,7,6,7,4
,,,质量,14,12,16,14,14,14,12,10,12,12
,,口感分析,纯正度,4,5,5,5,5,5,5,4,5,4
,,,浓度,7,6,7,6,7,6,6,4,6,6
,,,持久性,6,7,7,6,7,8,7,5,6,6
,,,质量,19,16,19,16,19,16,19,13,16,16
,,平衡/整体评价,,10,9,10,9,10,10,9,8,9,9
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,葡萄酒样品1,外观分析,澄清度,4,4,4,4,3,4,3,2,4,3
,,,色调,8,8,6,6,6,6,8,6,6,6
,,香气分析,纯正度,5,5,5,4,5,5,4,4,5,4
,,,浓度,6,7,7,6,7,7,7,4,6,4
,,,质量,14,12,12,14,14,12,14,12,12,12
,,口感分析,纯正度,5,5,5,4,5,6,4,4,5,5
,,,浓度,6,6,7,6,6,8,6,6,6,6
,,,持久性,7,6,7,6,7,8,7,6,6,6
,,,质量,19,16,19,16,16,19,19,16,16,16
,,平衡/整体评价,,10,9,10,9,10,9,9,9,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
13,葡萄酒样品13,外观分析,澄清度,4,4,4,4,3,4,3,2,4,3
,,,色调,6,8,6,6,6,6,6,4,4,6
,,香气分析,纯正度,4,4,5,5,5,3,4,3,4,5
,,,浓度,6,7,6,7,7,6,6,4,6,7
,,,质量,12,12,12,14,14,10,14,10,12,14
,,口感分析,纯正度,3,5,5,4,5,5,4,4,4,5
,,,浓度,4,6,6,7,6,6,7,4,4,6
,,,持久性,5,7,7,6,7,7,7,6,6,6
,,,质量,16,16,19,19,16,16,16,16,13,19
,,平衡/整体评价,,8,9,9,9,9,9,8,9,8,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17,葡萄酒样品17,外观分析,澄清度,4,4,4,4,3,4,3,2,4,3
,,,色调,8,8,6,6,6,8,8,6,6,6
,,香气分析,纯正度,5,4,5,5,5,5,5,4,3,5
,,,浓度,6,4,7,7,7,6,7,6,7,7
,,,质量,12,12,14,14,14,14,14,12,12,14
,,口感分析,纯正度,5,4,4,5,5,6,5,4,4,6
,,,浓度,6,6,7,7,6,7,7,6,7,7
,,,持久性,6,5,7,6,7,8,7,6,7,7
,,,质量,16,13,16,19,16,19,22,19,19,22
,,平衡/整体评价,,9,9,9,10,10,10,10,10,9,11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28,葡萄酒样品28,外观分析,澄清度,4,4,4,4,3,4,3,3,4,3
,,,色调,8,8,8,8,6,8,8,6,8,6
,,香气分析,纯正度,4,4,4,5,5,5,4,4,4,5
,,,浓度,6,7,7,7,7,7,6,7,6,7
,,,质量,12,12,12,14,14,12,14,14,12,14
,,口感分析,纯正度,4,5,4,5,5,5,5,4,5,6
,,,浓度,6,7,7,6,6,7,7,6,6,7
,,,持久性,6,6,7,6,7,7,7,5,6,8
,,,质量,16,19,19,16,16,19,16,13,16,22
,,平衡/整体评价,,9,10,9,10,9,10,9,9,9,11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
22,葡萄酒样品22,外观分析,澄清度,4,4,4,4,3,4,3,2,4,3
,,,色调,8,8,6,8,6,10,8,6,8,6
,,香气分析,纯正度,5,5,5,6,5,6,4,4,5,6
,,,浓度,7,7,7,8,8,8,6,6,7,7
,,,质量,14,12,14,14,14,14,14,12,12,14
,,口感分析,纯正度,5,5,4,5,4,5,4,4,4,6
,,,浓度,6,4,7,7,4,7,7,4,4,7
,,,持久性,6,6,7,7,6,7,7,6,6,7
,,,质量,16,16,19,19,16,19,19,13,13,19
,,平衡/整体评价,,9,9,9,10,9,9,8,9,9,11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
24,葡萄酒样品24,外观分析,澄清度,3,4,3,4,3,4,3,2,4,3
,,,色调,6,8,8,8,6,8,8,6,8,6
,,香气分析,纯正度,4,4,4,5,4,4,4,3,3,5
,,,浓度,4,7,7,7,7,6,6,4,6,7
,,,质量,10,12,12,12,12,12,14,10,10,14
,,口感分析,纯正度,4,4,4,5,5,5,5,4,4,5
,,,浓度,6,7,7,6,6,7,7,6,6,7
,,,持久性,5,6,7,6,7,7,7,5,6,7
,,,质量,16,19,16,16,19,16,19,16,16,19
,,平衡/整体评价,,9,9,9,8,10,9,10,9,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8,葡萄酒样品8,外观分析,澄清度,4,4,3,4,3,4,3,2,4,3
,,,色调,6,8,6,6,6,8,8,6,6,6
,,香气分析,纯正度,4,5,5,4,5,5,4,4,4,4
,,,浓度,6,6,6,4,6,6,6,6,6,4
,,,质量,12,12,12,12,12,12,14,12,12,10
,,口感分析,纯正度,5,5,5,4,4,5,5,4,4,4
,,,浓度,6,6,6,4,6,6,7,4,6,4
,,,持久性,6,6,6,5,6,6,6,6,6,5
,,,质量,16,16,16,16,16,16,16,13,16,13
,,平衡/整体评价,,9,10,9,8,9,9,10,9,9,9
,,,,,,,,,,,,,
,,,,,,,,,,,,,
19,葡萄酒样品19,外观分析,澄清度,3,4,4,3,3,4,3,2,4,3
,,,色调,6,8,6,6,6,8,8,4,6,6
,,香气分析,纯正度,5,5,5,4,6,5,5,4,5,4
,,,浓度,7,4,6,6,6,7,7,6,6,6
,,,质量,14,12,14,12,12,12,14,12,12,12
,,口感分析,纯正度,4,5,4,4,5,5,4,3,5,5
,,,浓度,6,6,7,7,7,7,7,4,6,6
,,,持久性,6,6,7,7,7,7,7,6,6,6
,,,质量,16,16,16,13,19,16,19,16,19,19
,,平衡/整体评价,,9,9,9,8,10,9,9,9,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5,葡萄酒样品5,外观分析,澄清度,3,4,3,4,3,5,3,2,4,3
,,,色调,6,8,6,8,6,10,8,6,8,6
,,香气分析,纯正度,5,5,5,5,5,5,5,5,5,6
,,,浓度,7,7,7,7,7,8,6,7,7,7
,,,质量,14,12,14,14,14,12,14,12,14,16
,,口感分析,纯正度,5,4,4,4,4,5,5,4,5,6
,,,浓度,7,7,7,7,6,6,7,6,6,7
,,,持久性,7,7,7,6,6,7,7,6,6,7
,,,质量,19,16,16,16,16,19,19,16,19,22
,,平衡/整体评价,,10,9,10,9,10,10,8,9,10,11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,葡萄酒样品7,外观分析,澄清度,3,4,3,3,3,4,3,3,4,3
,,,色调,8,8,6,6,6,8,8,4,6,6
,,香气分析,纯正度,5,5,4,5,4,6,4,4,5,4
,,,浓度,7,7,6,6,6,8,7,4,6,6
,,,质量,14,12,12,12,12,14,14,10,12,12
,,口感分析,纯正度,4,5,5,4,4,5,5,3,4,5
,,,浓度,6,7,6,6,6,6,6,6,6,7
,,,持久性,6,6,7,7,6,6,6,6,5,6
,,,质量,16,16,16,13,13,16,19,13,16,19
,,平衡/整体评价,,9,9,9,7,9,9,8,8,8,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
23,葡萄酒样品23,外观分析,澄清度,4,4,3,4,3,5,3,2,4,3
,,,色调,6,8,8,8,6,10,8,6,8,6
,,香气分析,纯正度,5,5,5,5,5,4,4,4,5,4
,,,浓度,6,7,7,7,7,7,6,6,7,4
,,,质量,12,12,14,12,12,10,12,12,14,12
,,口感分析,纯正度,4,5,4,5,4,5,4,4,5,5
,,,浓度,6,7,7,7,6,6,6,7,7,7
,,,持久性,6,6,6,6,6,7,6,7,7,6
,,,质量,16,16,16,16,16,16,16,16,16,19
,,平衡/整体评价,,9,10,10,10,9,9,10,9,10,10
,,,,74,80,80,80,74,79,75,73,83,76
